H_Seg_126;PtCount;632;Angle;0.520394;Min_pt;0.00799501;Max_pt;0.0294991;Average Height;0.018747055;Floor
H_Seg_127;PtCount;638227;Angle;179.948;Min_pt;3.14627;Max_pt;3.28861;Average Height;3.21744;Unknown
H_Seg_128;PtCount;575;Angle;176.788;Min_pt;3.21244;Max_pt;3.27477;Average Height;3.243605;Unknown
H_Seg_130;PtCount;1552;Angle;8.05306;Min_pt;0.46554;Max_pt;0.545081;Average Height;0.5053105;Chair
H_Seg_132;PtCount;716;Angle;0.408783;Min_pt;0.0119951;Max_pt;0.0209891;Average Height;0.0164921;Floor
H_Seg_133;PtCount;8234;Angle;2.24489;Min_pt;0.761757;Max_pt;0.793134;Average Height;0.7774455;Desk
H_Seg_134;PtCount;15151;Angle;0.313412;Min_pt;0.721411;Max_pt;0.800235;Average Height;0.760823;Desk
H_Seg_135;PtCount;778;Angle;179.941;Min_pt;3.19547;Max_pt;3.19826;Average Height;3.196865;Unknown
H_Seg_137;PtCount;819;Angle;179.697;Min_pt;0.00638306;Max_pt;0.0259731;Average Height;0.01617808;Floor
H_Seg_139;PtCount;1022;Angle;179.567;Min_pt;0.00183904;Max_pt;0.018101;Average Height;0.00997002;Floor
H_Seg_140;PtCount;1240;Angle;0.492975;Min_pt;0.01398;Max_pt;0.03576;Average Height;0.02487;Floor
H_Seg_141;PtCount;982;Angle;179.733;Min_pt;0.000298023;Max_pt;0.0331891;Average Height;0.016743562;Floor
H_Seg_143;PtCount;2305;Angle;179.885;Min_pt;0.001387;Max_pt;0.0251991;Average Height;0.01329305;Floor
H_Seg_144;PtCount;1814;Angle;179.715;Min_pt;0.00443006;Max_pt;0.029286;Average Height;0.01685803;Floor
H_Seg_145;PtCount;763;Angle;179.759;Min_pt;0.761866;Max_pt;0.779512;Average Height;0.770689;Desk
H_Seg_146;PtCount;1310;Angle;0.228141;Min_pt;0.018676;Max_pt;0.030092;Average Height;0.024384;Floor
H_Seg_148;PtCount;611;Angle;0.23239;Min_pt;0.013106;Max_pt;0.023085;Average Height;0.0180955;Floor
H_Seg_149;PtCount;559;Angle;0.844878;Min_pt;0.020496;Max_pt;0.0383531;Average Height;0.02942455;Floor
H_Seg_151;PtCount;693;Angle;3.49127;Min_pt;0.456334;Max_pt;0.526529;Average Height;0.4914315;Chair
H_Seg_153;PtCount;4285;Angle;0.0791294;Min_pt;0.745562;Max_pt;0.784164;Average Height;0.764863;Desk
H_Seg_158;PtCount;784;Angle;0.110143;Min_pt;0.0160151;Max_pt;0.031391;Average Height;0.02370305;Floor
H_Seg_160;PtCount;1487;Angle;179.899;Min_pt;0.013818;Max_pt;0.0283971;Average Height;0.02110755;Floor
H_Seg_161;PtCount;789;Angle;0.344917;Min_pt;0.0115;Max_pt;0.0251601;Average Height;0.01833005;Floor
H_Seg_164;PtCount;2484;Angle;179.881;Min_pt;0.015475;Max_pt;0.0366781;Average Height;0.02607655;Floor
H_Seg_166;PtCount;622;Angle;1.62209;Min_pt;3.19743;Max_pt;3.22436;Average Height;3.210895;Unknown
H_Seg_171;PtCount;511;Angle;5.76725;Min_pt;3.12637;Max_pt;3.2118;Average Height;3.169085;Unknown
H_Seg_175;PtCount;565;Angle;3.83339;Min_pt;0.468611;Max_pt;0.531479;Average Height;0.500045;Chair
H_Seg_179;PtCount;1919;Angle;0.633965;Min_pt;3.21591;Max_pt;3.23306;Average Height;3.224485;Unknown
H_Seg_180;PtCount;550;Angle;7.13039;Min_pt;0.468621;Max_pt;0.525182;Average Height;0.4969015;Chair
H_Seg_184;PtCount;930;Angle;179.956;Min_pt;0.010645;Max_pt;0.019601;Average Height;0.015123;Floor
H_Seg_185;PtCount;776;Angle;171.008;Min_pt;0.35273;Max_pt;0.513482;Average Height;0.433106;Unknown
H_Seg_186;PtCount;1248;Angle;0.524141;Min_pt;0.0165831;Max_pt;0.037837;Average Height;0.02721005;Floor
H_Seg_187;PtCount;787;Angle;1.06091;Min_pt;0.017517;Max_pt;0.04497;Average Height;0.0312435;Floor
