V_Seg_66,PtCount,1860,Angle,90.0531,Min_pt,1.44875,Max_pt,2.43934,Other,0.990589
V_Seg_69,PtCount,2064,Angle,89.9579,Min_pt,0.0409989,Max_pt,2.92568,Other,2.88468
V_Seg_70,PtCount,598,Angle,90.0456,Min_pt,2.56278,Max_pt,2.60271,Other,0.0399239
V_Seg_75,PtCount,29204,Angle,90.2304,Min_pt,0.162556,Max_pt,1.38521,Other,1.22266
V_Seg_77,PtCount,2944,Angle,89.4077,Min_pt,0.0829129,Max_pt,0.234207,Other,0.151294
V_Seg_81,PtCount,1207,Angle,89.7036,Min_pt,3.70432,Max_pt,4.03025,Other,0.325933
V_Seg_84,PtCount,1061,Angle,88.7469,Min_pt,0.090109,Max_pt,0.235998,Other,0.145889
V_Seg_86,PtCount,1214,Angle,90.1011,Min_pt,0.266916,Max_pt,1.0232,Other,0.756279
V_Seg_93,PtCount,1109,Angle,87.6549,Min_pt,3.20107,Max_pt,3.44047,Other,0.239395
V_Seg_97,PtCount,573,Angle,101.029,Min_pt,0.755035,Max_pt,1.00349,Other,0.248454
V_Seg_99,PtCount,3599,Angle,89.9961,Min_pt,0.0791019,Max_pt,0.885997,Other,0.806895
V_Seg_103,PtCount,775,Angle,109.837,Min_pt,0.749375,Max_pt,1.01133,Other,0.261952
V_Seg_111,PtCount,932,Angle,90.2036,Min_pt,0.071664,Max_pt,0.222917,Other,0.151253
V_Seg_117,PtCount,1469,Angle,71.0576,Min_pt,0.606562,Max_pt,1.06214,Other,0.455575
V_Seg_118,PtCount,810,Angle,70.7658,Min_pt,0.745615,Max_pt,1.0196,Other,0.273989
V_Seg_123,PtCount,1412,Angle,99.2655,Min_pt,0.545882,Max_pt,1.01825,Other,0.472371
V_Seg_128,PtCount,737,Angle,74.4175,Min_pt,0.760715,Max_pt,1.02873,Other,0.268011
V_Seg_129,PtCount,4514,Angle,89.4192,Min_pt,0.537636,Max_pt,0.965771,Other,0.428135
V_Seg_130,PtCount,937,Angle,72.7115,Min_pt,0.778809,Max_pt,1.09289,Other,0.314076
V_Seg_131,PtCount,1131,Angle,89.9085,Min_pt,0.542562,Max_pt,0.920915,Other,0.378353
V_Seg_133,PtCount,593,Angle,106.95,Min_pt,0.769694,Max_pt,0.981975,Other,0.212281
V_Seg_136,PtCount,1289,Angle,90.6702,Min_pt,0.540063,Max_pt,0.959553,Other,0.41949
V_Seg_137,PtCount,777,Angle,109.048,Min_pt,0.770555,Max_pt,1.03533,Other,0.264772
V_Seg_138,PtCount,634,Angle,104.107,Min_pt,0.780101,Max_pt,1.00292,Other,0.222817
V_Seg_139,PtCount,642,Angle,108.344,Min_pt,0.764975,Max_pt,0.99628,Other,0.231305
V_Seg_140,PtCount,1559,Angle,88.3554,Min_pt,0.277422,Max_pt,0.558238,Other,0.280816
V_Seg_142,PtCount,514,Angle,95.5408,Min_pt,2.99469,Max_pt,3.05356,Other,0.0588601
V_Seg_143,PtCount,700,Angle,71.4427,Min_pt,0.765893,Max_pt,1.02661,Other,0.260722
V_Seg_144,PtCount,892,Angle,108.092,Min_pt,0.770693,Max_pt,1.06943,Other,0.298733
V_Seg_145,PtCount,949,Angle,94.6397,Min_pt,3.00895,Max_pt,3.07354,Other,0.0645819
V_Seg_146,PtCount,580,Angle,71.96,Min_pt,0.763073,Max_pt,0.989507,Other,0.226434
V_Seg_147,PtCount,604,Angle,78.5786,Min_pt,0.768032,Max_pt,0.99617,Other,0.228138
V_Seg_148,PtCount,672,Angle,98.1618,Min_pt,0.766238,Max_pt,1.01016,Other,0.243923
